product_id,name,template_serial_number,dimensions,final_price,category
1,4929 PRINTY 3.0 C. ROJO C. NEGRO 50x30mm,3669,,558.81,"Texto , Printy , 4929 , 3"
1,4931 PRINTY 3.0 C. AZUL C. NEGRO 70x30mm,33305,,562.47,"Texto , Printy , 4931 , 3"
1,4931 PRINTY 3.0 C. GRIS C. NEGRO 70x30mm,33306,,562.49,"Texto , Printy , 4931 , 3"
1,4931 PRINTY 3.0 C.NEGRO C.NEGRO 70x30mm,45196,,562.47,"Texto , Printy , 4931 , 3"
1,4931 PRINTY 3.0 C. ROJO C. NEGRO 70x30mm,33304,,562.47,"Texto , Printy , 4931 , 3"
1,4933 PRINTY 2.0 C. AZUL C. NEGRO 25x25mm,65841,,426.64,"Texto , Printy , 4933 , 2"
1,4933 PRINTY 2.0 C.NEGRO C.NEGRO 25x25mm,65635,,426.64,"Texto , Printy , 4933 , 2"
1,4933 PRINTY 2.0 C. ROJO C. NEGRO 25x25mm,65836,,426.64,"Texto , Printy , 4933 , 2"
1,4910 PRINTY 4.0 BLANCO/BLANCO C.N 26x9mm,57842,,217.54,"Texto , Printy , 4910 , 4"
1,4911 PRINTY 4.0 C. AZUL C. NEGRO 38x14mm,44359,,232.32,"Texto , Printy , 4911 , 4"
1,4911 PRINTY 4.0 BLANCO/NEG C.NEG 38x14mm,44380,,232.32,"Texto , Printy , 4911 , 4"
1,4911 PRINTY 4.0 C. GRIS C. NEGRO 38x14mm,44356,,232.32,"Texto , Printy , 4911 , 4"
1,4911 PRINTY 4.0 C.NEGRO C.NEGRO 38x14mm,44075,,232.32,"Texto , Printy , 4911 , 4"
1,4911 PRINTY 4.0 C. ROJO C. NEGRO 38x14mm,44377,,232.32,"Texto , Printy , 4911 , 4"
1,4911 PRINTY 4.0 ROSA FUCSIA C.N 38x14mm,44383,,232.32,"Texto , Printy , 4911 , 4"
1,4911 PRINTY 4.0 VERDE C. NEGRO 38x14mm,44396,,232.32,"Texto , Printy , 4911 , 4"
1,4912 PRINTY 4.0 C. AZUL C. NEGRO 47x18mm,44368,,283.85,"Texto , Printy , 4912 , 4"
1,4912 PRINTY 4.0 BLANCO/NEGRO C.N 47x18mm,44374,,271.5,"Texto , Printy , 4912 , 4"
1,4912 PRINTY 4.0  BLANCO/NEGRO C.N 47x18mm,46480,,271.5,"Texto , Printy , 4912 , 4"
1,4912 PRINTY 4.0 C. GRIS C. NEGRO 47x18mm,44355,,283.85,"Texto , Printy , 4912 , 4"
